,urban,gender,age,hand,voted,married,familysize,points,result
138,3,1,29,1,1,1,2,39,Not complotist
139,3,1,24,1,2,1,2,41,complotist
140,2,2,36,1,2,2,2,27,Not complotist
141,1,2,41,1,0,2,1,68,complotist
142,2,2,23,1,2,3,0,66,complotist
143,3,2,29,1,2,1,2,24,Not complotist
144,2,2,26,1,1,1,3,47,complotist
145,2,2,36,2,2,3,3,54,complotist
146,1,1,54,2,1,3,5,15,Not complotist
147,2,3,46,2,2,1,3,44,complotist
148,3,2,51,1,0,2,2,50,complotist
149,2,2,26,1,2,1,1,47,complotist
150,3,2,19,1,2,1,3,45,complotist
151,3,1,29,1,1,1,2,27,Not complotist
152,3,1,22,1,1,1,2,36,Not complotist
153,3,2,22,1,1,1,4,14,Not complotist
154,0,1,53,1,1,3,3,61,complotist
155,2,2,19,1,1,1,2,45,complotist
156,2,1,39,1,1,1,3,55,complotist
157,1,2,42,1,1,1,2,34,Not complotist
158,3,1,43,1,2,1,3,41,complotist
159,1,2,24,1,2,1,7,22,Not complotist
160,2,1,27,1,1,1,2,46,complotist
161,2,1,21,1,2,1,1,47,complotist
162,3,2,35,1,1,1,2,50,complotist
163,3,1,60,1,2,1,2,43,complotist
164,2,1,32,1,2,2,3,47,complotist
165,2,1,17,1,2,1,2,35,Not complotist
166,3,1,31,1,1,2,0,53,complotist
167,2,1,30,1,2,1,2,51,complotist
168,2,1,45,1,2,1,2,59,complotist
169,1,2,35,1,2,1,4,50,complotist
170,2,2,18,1,1,1,1,45,complotist
171,3,2,16,1,2,1,1,41,complotist
172,3,1,50,1,1,2,2,41,complotist
173,2,2,45,2,2,1,2,39,Not complotist
174,3,2,43,1,2,2,4,34,Not complotist
175,2,1,23,1,2,1,2,44,complotist
176,2,2,46,2,1,3,3,73,complotist
177,2,1,42,1,2,2,5,36,Not complotist
178,2,1,27,1,1,1,2,27,Not complotist
179,2,2,26,3,2,2,3,70,complotist
180,2,1,57,1,1,2,2,25,Not complotist
181,1,1,21,1,1,1,2,44,complotist
182,2,2,16,1,2,1,2,19,Not complotist
183,3,2,14,1,2,1,2,55,complotist
184,3,1,38,1,2,2,2,25,Not complotist
185,3,2,20,1,2,1,1,50,complotist
186,3,1,36,1,1,1,2,41,complotist
187,1,2,25,2,2,2,3,45,complotist
188,3,1,21,2,2,1,2,20,Not complotist
189,2,2,42,1,2,1,5,55,complotist
190,3,1,48,1,1,2,2,40,complotist
191,2,1,19,1,1,1,1,29,Not complotist
192,2,1,38,1,2,2,1,31,Not complotist
193,2,2,15,1,2,1,2,40,complotist
194,1,3,21,1,1,1,3,32,Not complotist
195,2,1,13,1,2,1,2,39,Not complotist
196,2,1,45,1,1,2,3,46,complotist
197,3,1,23,1,2,1,4,41,complotist
198,2,2,15,1,2,1,3,35,Not complotist
199,2,2,15,1,2,1,3,24,Not complotist
200,3,2,33,1,1,1,3,56,complotist
201,3,1,21,1,2,1,2,31,Not complotist
202,1,1,36,1,1,1,3,34,Not complotist
203,2,1,13,3,2,1,2,18,Not complotist
204,3,2,18,2,1,1,2,40,complotist
205,2,1,15,1,2,1,2,28,Not complotist
206,2,2,19,1,1,1,3,51,complotist
207,1,1,18,1,2,1,1,21,Not complotist
